Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def,Matches
274,Adam Lallana,eng ENG,MF,Brighton,33,1988,17.3,27,1.56,23,0,1,0,2,1,3,0.17,3,0,0,0,0,0,Matches
275,Tariq Lamptey,eng ENG,DFFW,Brighton,20,2000,17.3,47,2.71,33,0,4,3,4,3,2,0.12,2,0,0,0,0,0,Matches
276,Manuel Lanzini,ar ARG,MFFW,West Ham,28,1993,19.8,55,2.77,45,5,2,0,2,1,10,0.5,6,1,1,0,1,1,Matches
277,Aymeric Laporte,es ESP,DF,Manchester City,27,1994,31.4,30,0.95,26,0,0,3,1,0,4,0.13,2,0,0,1,1,0,Matches
278,Jamaal Lascelles,eng ENG,DF,Newcastle Utd,27,1993,22.9,6,0.26,6,0,0,0,0,0,1,0.04,1,0,0,0,0,0,Matches
279,Pierre Lees-Melou,fr FRA,MF,Norwich City,28,1993,25.2,52,2.07,44,1,1,1,1,4,1,0.04,0,0,0,0,1,0,Matches
280,Aaron Lennon,eng ENG,MF,Burnley,34,1987,17.2,32,1.86,20,0,5,1,6,0,5,0.29,1,0,2,0,2,0,Matches
281,Bernd Leno,de GER,GK,Arsenal,29,1992,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
282,Jamal Lewis,nir NIR,DF,Newcastle Utd,23,1998,2.9,2,0.69,2,0,0,0,0,0,1,0.34,1,0,0,0,0,0,Matches
283,Victor Lindelöf,se SWE,DF,Manchester Utd,27,1994,26.2,10,0.38,10,0,0,0,0,0,3,0.11,3,0,0,0,0,0,Matches
284,Jesse Lingard,eng ENG,FWMF,Manchester Utd,28,1992,4.1,15,3.68,12,0,0,2,1,0,1,0.25,0,0,0,1,0,0,Matches
285,Valentino Livramento,eng ENG,DF,Southampton,18,2002,24.5,40,1.63,37,0,1,0,2,0,2,0.08,1,0,0,0,1,0,Matches
286,Diego Llorente,es ESP,DF,Leeds United,27,1993,26,6,0.23,6,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
287,Hugo Lloris,fr FRA,GK,Tottenham,34,1986,38,6,0.16,6,0,0,0,0,0,2,0.05,2,0,0,0,0,0,Matches
288,Giovani Lo Celso,ar ARG,MFFW,Tottenham,25,1996,2.6,10,3.78,5,2,0,1,2,0,0,0,0,0,0,0,0,0,Matches
289,Jürgen Locadia,nl NED,FW,Brighton,27,1993,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
290,Ruben Loftus-Cheek,eng ENG,MFDF,Chelsea,25,1996,15.5,52,3.36,39,0,3,4,3,3,7,0.45,4,0,0,2,0,1,Matches
291,Kevin Long,ie IRL,DF,Burnley,30,1990,4.6,1,0.22,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
292,Shane Long,ie IRL,FW,Southampton,34,1987,3.4,5,1.46,2,0,0,0,3,0,0,0,0,0,0,0,0,0,Matches
293,Sean Longstaff,eng ENG,MF,Newcastle Utd,23,1997,16.3,24,1.48,20,1,0,1,0,2,4,0.25,3,0,0,0,0,1,Matches
294,Ademola Lookman,ng NGA,FWMF,Leicester City,23,1997,16.1,40,2.48,30,1,4,2,2,1,2,0.12,1,0,0,0,1,0,Matches
295,Jonas Lössl,dk DEN,GK,Brentford,32,1989,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
296,Imran Louza,ma MAR,MF,Watford,22,1999,15.7,30,1.91,13,11,1,2,1,2,1,0.06,1,0,0,0,0,0,Matches
297,Matthew Lowton,eng ENG,DF,Burnley,32,1989,19.7,33,1.68,25,4,0,1,2,1,2,0.1,1,0,0,1,0,0,Matches
298,Douglas Luiz,br BRA,MF,Aston Villa,23,1998,30.2,75,2.49,46,19,1,3,6,0,8,0.27,3,2,0,2,1,0,Matches
299,Romelu Lukaku,be BEL,FW,Chelsea,28,1993,17.7,44,2.49,30,0,4,2,6,2,5,0.28,0,0,1,0,3,1,Matches
300,Lyanco,br BRA,DF,Southampton,24,1997,10.1,9,0.89,6,0,0,1,0,2,1,0.1,1,0,0,0,0,0,Matches
301,Alexis Mac Allister,ar ARG,MFFW,Brighton,22,1998,23.6,66,2.8,46,9,1,2,4,4,4,0.17,1,2,0,1,0,0,Matches
302,James Maddison,eng ENG,MFFW,Leicester City,24,1996,27.3,100,3.66,56,12,9,8,12,3,19,0.7,13,1,1,1,2,1,Matches
303,Harry Maguire,eng ENG,DF,Manchester Utd,28,1993,27.9,20,0.72,11,2,1,4,1,1,1,0.04,1,0,0,0,0,0,Matches
304,Riyad Mahrez,dz ALG,FW,Manchester City,30,1991,16.6,64,3.85,49,9,1,3,1,1,7,0.42,4,2,0,1,0,0,Matches
305,Ainsley Maitland-Niles,eng ENG,MF,Arsenal,23,1997,3,8,2.69,5,1,0,1,0,1,0,0,0,0,0,0,0,0,Matches
306,Sadio Mané,sn SEN,FW,Liverpool,29,1992,31.3,97,3.1,67,0,5,14,8,3,13,0.42,7,0,1,4,1,0,Matches
307,Javier Manquillo,es ESP,DF,Newcastle Utd,27,1994,14,9,0.64,8,0,0,0,1,0,4,0.29,3,0,0,0,1,0,Matches
308,Fernando Marçal,br BRA,DF,Wolves,32,1989,16.1,17,1.06,15,0,0,1,1,0,1,0.06,0,0,0,1,0,0,Matches
309,Solly March,eng ENG,DFFW,Brighton,27,1994,19.4,67,3.45,41,14,7,0,3,2,4,0.21,3,0,0,0,1,0,Matches
310,Pablo Marí,es ESP,DF,Arsenal,27,1993,2,1,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
311,Anthony Martial,fr FRA,FW,Manchester Utd,25,1995,2.4,3,1.27,3,0,0,0,0,0,2,0.85,2,0,0,0,0,0,Matches
312,Martinelli,br BRA,FWMF,Arsenal,20,2001,20.7,70,3.39,47,4,8,7,2,2,11,0.53,6,2,1,2,0,0,Matches
313,Emiliano Martínez,ar ARG,GK,Aston Villa,28,1992,36,3,0.08,3,0,0,0,0,0,1,0.03,1,0,0,0,0,0,Matches
314,Adam Masina,ma MAR,DF,Watford,27,1994,12,11,0.92,6,3,0,0,1,1,1,0.08,1,0,0,0,0,0,Matches
315,Arthur Masuaku,cd COD,DFFW,West Ham,27,1993,7.2,6,0.83,4,2,0,0,0,0,2,0.28,1,1,0,0,0,0,Matches
316,Juan Mata,es ESP,MF,Manchester Utd,33,1988,2.6,6,2.3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
317,Jean-Philippe Mateta,fr FRA,FW,Crystal Palace,24,1997,12.7,18,1.41,15,0,0,3,0,0,2,0.16,1,0,0,1,0,0,Matches
318,Nemanja Mati?,rs SRB,MF,Manchester Utd,32,1988,15.4,28,1.82,25,0,0,0,1,2,5,0.33,5,0,0,0,0,0,Matches
319,Joël Matip,cm CMR,DF,Liverpool,29,1991,31,34,1.1,26,0,0,7,1,0,9,0.29,7,0,0,1,1,0,Matches
320,Neal Maupay,fr FRA,FW,Brighton,24,1996,25.3,64,2.53,46,0,7,6,5,0,3,0.12,3,0,0,0,0,0,Matches
321,Bryan Mbeumo,fr FRA,FW,Brentford,21,1999,32.3,77,2.39,49,9,8,5,5,1,12,0.37,10,1,0,0,1,0,Matches
322,James McArthur,sct SCO,MF,Crystal Palace,33,1987,16,29,1.81,25,1,1,0,1,1,3,0.19,3,0,0,0,0,0,Matches
323,James Mcatee,eng ENG,MFFW,Manchester City,18,2002,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
324,Kasey McAteer,eng ENG,FW,Leicester City,19,2001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
325,Liam McCarron,sct SCO,FW,Leeds United,20,2001,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
326,Alex McCarthy,eng ENG,GK,Southampton,31,1989,17,1,0.06,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
327,John McGinn,sct SCO,MF,Aston Villa,26,1994,34.3,96,2.8,66,20,3,2,4,1,5,0.15,4,1,0,0,0,0,Matches
328,Stuart McKinstry,sct SCO,MF,Leeds United,18,2002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
329,Kenny McLean,sct SCO,MF,Norwich City,29,1992,30.1,34,1.13,27,2,0,2,0,3,2,0.07,2,0,0,0,0,0,Matches
330,Dwight McNeil,eng ENG,MF,Burnley,21,1999,34.5,97,2.81,52,22,5,6,10,2,5,0.14,3,2,0,0,0,0,Matches
331,Scott McTominay,sct SCO,MF,Manchester Utd,24,1996,26.5,45,1.7,37,0,3,1,2,2,6,0.23,4,0,0,1,0,1,Matches
332,Ben Mee,eng ENG,DF,Burnley,31,1989,20.4,8,0.39,5,0,0,2,1,0,0,0,0,0,0,0,0,0,Matches
333,Hannibal Mejbri,tn TUN,FW,Manchester Utd,18,2003,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
334,Benjamin Mendy,fr FRA,DF,Manchester City,27,1994,0.9,4,4.62,4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
335,Edouard Mendy,sn SEN,GK,Chelsea,29,1992,34,2,0.06,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
336,Nampalys Mendy,sn SEN,MF,Leicester City,29,1992,11.5,6,0.52,5,0,0,0,0,1,3,0.26,3,0,0,0,0,0,Matches
337,Illan Meslier,fr FRA,GK,Leeds United,21,2000,37.6,2,0.05,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Matches
338,Luka Milivojevi?,rs SRB,MF,Crystal Palace,30,1991,8.6,16,1.86,6,9,0,0,1,0,1,0.12,1,0,0,0,0,0,Matches
339,James Milner,eng ENG,MFDF,Liverpool,35,1986,9.5,31,3.27,23,6,1,1,0,0,1,0.11,1,0,0,0,0,0,Matches
340,Yerry Mina,co COL,DF,Everton,26,1994,9.4,3,0.32,2,0,0,0,0,1,0,0,0,0,0,0,0,0,Matches
341,Takumi Minamino,jp JPN,FWMF,Liverpool,26,1995,2.1,7,3.39,5,0,0,0,1,1,1,0.48,1,0,0,0,0,0,Matches
342,Tyrone Mings,eng ENG,DF,Aston Villa,28,1993,35.4,26,0.73,20,0,0,3,2,1,4,0.11,3,0,0,1,0,0,Matches
343,Tyrick Mitchell,eng ENG,DF,Crystal Palace,21,1999,34.5,41,1.19,35,2,1,1,1,1,5,0.15,5,0,0,0,0,0,Matches
344,Jakub Moder,pl POL,MFFW,Brighton,22,1999,18.9,37,1.96,23,3,3,6,0,2,4,0.21,3,0,0,1,0,0,Matches
345,Wesley Moraes,br BRA,FW,Aston Villa,24,1996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
346,Tyler Morton,eng ENG,MF,Liverpool,18,2002,0.7,1,1.36,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
347,Mason Mount,eng ENG,MFFW,Chelsea,22,1999,26.3,111,4.23,72,21,5,8,4,1,15,0.57,9,4,0,1,1,0,Matches
348,Lucas Moura,br BRA,FWMF,Tottenham,28,1992,19.7,63,3.19,52,0,3,2,5,1,9,0.46,9,0,0,0,0,0,Matches
349,João Moutinho,pt POR,MF,Wolves,34,1986,33,68,2.06,44,18,1,2,0,3,4,0.12,3,1,0,0,0,0,Matches
350,Bali Mumba,eng ENG,DF,Norwich City,19,2001,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
351,Jacob Murphy,eng ENG,FWDF,Newcastle Utd,26,1995,16.4,45,2.75,34,2,4,4,1,0,5,0.31,2,0,0,2,1,0,Matches
352,Enock Mwepu,zm ZAM,MFFW,Brighton,23,1998,11.1,22,1.99,17,0,0,2,3,0,7,0.63,6,0,0,0,1,0,Matches
353,Vitaliy Mykolenko,ua UKR,DF,Everton,22,1999,11.7,14,1.19,8,4,0,0,1,1,3,0.26,1,1,0,0,1,0,Matches
354,Marvelous Nakamba,zw ZIM,MF,Aston Villa,27,1994,10,6,0.6,5,0,0,0,1,0,0,0,0,0,0,0,0,0,Matches
355,Wilfred Ndidi,ng NGA,MFDF,Leicester City,24,1996,18,14,0.78,9,0,0,3,1,1,2,0.11,1,0,0,1,0,0,Matches
356,Tanguy Ndombele,fr FRA,MF,Tottenham,24,1996,5.4,13,2.42,10,0,1,1,1,0,1,0.19,1,0,0,0,0,0,Matches
357,Reiss Nelson,eng ENG,FW,Arsenal,21,1999,0.2,3,13.5,2,0,0,1,0,0,0,0,0,0,0,0,0,0,Matches
358,Pedro Neto,pt POR,FWMF,Wolves,21,2000,5.2,23,4.44,13,4,2,2,2,0,1,0.19,1,0,0,0,0,0,Matches
359,Rúben Neves,pt POR,MF,Wolves,24,1997,29.6,55,1.86,45,2,1,3,2,2,3,0.1,3,0,0,0,0,0,Matches
360,Jeremy Ngakia,eng ENG,DF,Watford,20,2000,10,12,1.2,8,2,0,1,1,0,1,0.1,1,0,0,0,0,0,Matches
361,Saúl Ñíguez,es ESP,MFDF,Chelsea,26,1994,5.3,8,1.5,7,0,0,1,0,0,0,0,0,0,0,0,0,0,Matches
362,Eddie Nketiah,eng ENG,FW,Arsenal,22,1999,9.3,23,2.48,15,0,2,3,1,2,4,0.43,1,0,0,1,0,2,Matches
363,Nicolas Nkoulou,cm CMR,DF,Watford,31,1990,1.9,1,0.54,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
364,Mark Noble,eng ENG,MF,West Ham,34,1987,3.7,5,1.36,5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
365,Mathias Normann,no NOR,MF,Norwich City,25,1996,18.3,34,1.86,14,5,5,3,4,3,3,0.16,3,0,0,0,0,0,Matches
366,Christian Nørgaard,dk DEN,MF,Brentford,27,1994,33.9,49,1.44,43,0,3,1,1,1,6,0.18,5,0,1,0,0,0,Matches
367,Angelo Ogbonna,it ITA,DF,West Ham,33,1988,10.2,2,0.2,2,0,0,0,0,0,1,0.1,1,0,0,0,0,0,Matches
368,Michael Olise,fr FRA,FWMF,Crystal Palace,19,2001,12.7,38,3,32,3,1,1,1,0,7,0.55,6,0,0,1,0,0,Matches
369,Robin Olsen,se SWE,GK,Aston Villa,31,1990,1,1,1,0,1,0,0,0,0,1,1,0,1,0,0,0,0,Matches
370,Andrew Omobamidele,ie IRL,DF,Norwich City,19,2002,4.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
371,Tyler Onyango,eng ENG,MFFW,Everton,18,2003,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
372,Frank Onyeka,ng NGA,MF,Brentford,23,1998,11.6,17,1.46,11,0,1,1,4,0,1,0.09,0,0,0,0,1,0,Matches
373,Divock Origi,be BEL,FW,Liverpool,26,1995,1.5,2,1.35,1,0,0,1,0,0,2,1.35,1,0,0,1,0,0,Matches
374,Alex Oxlade-Chamberlain,eng ENG,MFFW,Liverpool,27,1993,8.7,21,2.41,17,0,2,0,1,1,1,0.11,1,0,0,0,0,0,Matches
375,Cole Palmer,eng ENG,FWMF,Manchester City,19,2002,1.4,7,5.12,4,0,0,2,1,0,1,0.73,0,0,0,1,0,0,Matches
376,Emerson Palmieri,it ITA,DF,Chelsea,26,1994,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
377,Thomas Partey,gh GHA,MF,Arsenal,28,1993,22.5,51,2.26,39,0,5,4,3,0,3,0.13,2,0,0,1,0,0,Matches
378,João Pedro,br BRA,FWMF,Watford,19,2001,18.3,49,2.68,33,0,7,4,4,1,4,0.22,3,0,0,1,0,0,Matches
379,Nicolas Pépé,ci CIV,FWMF,Arsenal,26,1995,7.7,28,3.62,15,9,2,2,0,0,4,0.52,2,0,0,2,0,0,Matches
380,Ricardo Pereira,pt POR,DF,Leicester City,27,1993,11,23,2.09,19,0,3,0,0,1,6,0.54,4,0,1,0,0,1,Matches
381,Ayoze Pérez,es ESP,MFFW,Leicester City,28,1993,4.9,18,3.64,14,0,2,1,0,1,2,0.4,2,0,0,0,0,0,Matches
382,Sonny Perkins,eng ENG,FW,West Ham,17,2004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
383,Romain Perraud,fr FRA,DF,Southampton,23,1997,18,27,1.5,20,1,2,2,1,1,3,0.17,3,0,0,0,0,0,Matches
384,Kalvin Phillips,eng ENG,MF,Leeds United,25,1995,17.7,23,1.3,17,3,0,1,0,2,4,0.23,3,1,0,0,0,0,Matches
385,Jaden Philogene Bidace,eng ENG,FW,Aston Villa,19,2002,0.1,1,18,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Matches
386,Jordan Pickford,eng ENG,GK,Everton,27,1994,35,7,0.2,4,3,0,0,0,0,1,0.03,1,0,0,0,0,0,Matches
387,Erik Pieters,nl NED,DF,Burnley,32,1988,8.1,7,0.86,5,2,0,0,0,0,1,0.12,1,0,0,0,0,0,Matches
388,Ethan Pinnock,jm JAM,DF,Brentford,28,1993,29.9,20,0.67,14,3,0,3,0,0,3,0.1,1,1,0,1,0,0,Matches
389,Daniel Podence,pt POR,FWMF,Wolves,25,1995,16.5,62,3.76,48,0,4,5,4,1,4,0.24,3,0,0,1,0,0,Matches
390,Paul Pogba,fr FRA,MFFW,Manchester Utd,28,1993,15,51,3.4,40,1,4,1,5,0,11,0.73,10,1,0,0,0,0,Matches
391,Nick Pope,eng ENG,GK,Burnley,29,1992,36,8,0.22,5,3,0,0,0,0,0,0,0,0,0,0,0,0,Matches
392,Isaac Price,nir NIR,MF,Everton,17,2003,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
393,Teemu Pukki,fi FIN,FW,Norwich City,31,1990,36.1,60,1.66,36,0,9,2,11,2,4,0.11,3,0,0,0,1,0,Matches
394,Christian Pulisic,us USA,MFFW,Chelsea,22,1998,14.3,33,2.3,23,0,0,2,5,3,2,0.14,2,0,0,0,0,0,Matches
395,Przemys?aw P?acheta,pl POL,FWMF,Norwich City,23,1998,5.6,14,2.5,5,2,2,0,5,0,0,0,0,0,0,0,0,0,Matches
396,Jesuran Rak Sakyi,eng ENG,FWMF,Crystal Palace,18,2002,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
397,Aaron Ramsdale,eng ENG,GK,Arsenal,23,1998,34,1,0.03,0,1,0,0,0,0,1,0.03,0,1,0,0,0,0,Matches
398,Jacob Ramsey,eng ENG,MF,Aston Villa,20,2001,27.4,63,2.3,49,0,3,2,8,1,3,0.11,2,0,0,1,0,0,Matches
399,Marcus Rashford,eng ENG,FWMF,Manchester Utd,23,1997,13.7,29,2.11,18,0,4,2,5,0,3,0.22,3,0,0,0,0,0,Matches
400,Milot Rashica,xk KVX,FWMF,Norwich City,25,1996,24.8,56,2.26,33,14,2,3,2,2,4,0.16,3,1,0,0,0,0,Matches
401,David Raya,es ESP,GK,Brentford,25,1995,24,2,0.08,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
402,Nathan Redmond,eng ENG,MFFW,Southampton,27,1994,20.4,66,3.24,53,4,2,4,2,1,8,0.39,6,1,0,0,1,0,Matches
403,Sergio Reguilón,es ESP,DF,Tottenham,24,1996,21.3,52,2.44,41,3,3,2,3,0,5,0.23,5,0,0,0,0,0,Matches
404,Declan Rice,eng ENG,MF,West Ham,22,1999,35.3,59,1.67,50,1,2,2,1,3,8,0.23,8,0,0,0,0,0,Matches
405,Taylor Richards,eng ENG,MFFW,Brighton,20,2000,0.3,1,3.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
406,Richarlison,br BRA,FWMF,Everton,24,1997,28,62,2.21,43,0,1,7,10,1,8,0.29,4,0,0,3,1,0,Matches
407,Jaïro Riedewald,nl NED,MF,Crystal Palace,24,1996,1.3,3,2.29,2,1,0,0,0,0,0,0,0,0,0,0,0,0,Matches
408,Matt Ritchie,sct SCO,DF,Newcastle Utd,31,1989,14.9,40,2.69,18,21,0,1,0,0,3,0.2,2,1,0,0,0,0,Matches
409,Connor Roberts,wls WAL,DF,Burnley,25,1995,18.8,22,1.17,17,1,1,1,2,0,1,0.05,1,0,0,0,0,0,Matches
